z,name,description,organizations,attachments,text,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,viability,readiness,importance,I-all,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,A1,photo,url,category,cluster,label
10013,Sharing Economy,"Powered by network technologies and peer communities, collaborative consumption is a new economic model geared toward increasing access, not ownership. Through online platforms, consumers are able to lend, swap, barter, share and gift products or services on an unprecedented scale. Massive networks for social lending, car sharing and peer-to-peer travel have already established themselves as major economic forces for sustainability.","26,27,28",103,-,5,5,5,4.5,5,3.5,4,5,4,4.5,4.89,4.48,4.14,1,1,1,1,1,2,3,4,3,3,1,2,3,3,https://trello-attachments.s3.amazonaws.com/56de18c1a9a6f87d2b61b7e7/804x536/bdb61fbd7615d0297a10dc4782e87428/airbnb.jpg,,3,4,D1
10014,Peer-To-Peer Economy,"Peer-to-peer economies occur when the production, transaction and consumption of goods happen between individuals, not companies, allowing small suppliers to compete with traditional providers of goods or services. These kind of transactions aren't new, but the internet has allowed more people to connect and trade in convenient and trustworthy markets, using tools such as search and matching algorithms, pricing, and reputation systems.","29,26,30",31,-,5,5,5,4.5,5,4,5,5,5,4,4.89,4.71,4.55,1,1,4,3,1,4,2,2,4,3,4,3,3,2,http://www.interchangerevelation.com/wp-content/uploads/2015/04/shutterstock_134309027.jpg,,1,2,B1
10015,Universal Card,"Allows people to combine an unlimited number of debit, credit and loyalty cards into one physical payment card. The original card details of the holder are never revealed to any merchant, online or in-store. It also connects to the users smartphone through a secure Bluetooth channel, which is meant to prevent unauthorised people from being able to use it or transmit information from it without access to the user’s smartphone. ","31,32,33",104,-,4,4.5,3.5,3.5,4,3.5,3,5,3,3.5,3.87,3.66,3.48,3,1,4,1,4,1,1,2,1,4,4,1,4,4,https://trello-attachments.s3.amazonaws.com/56c9f2447ce4f94524c0f21c/1280x720/de68dd2f91130bc70f76ac2a4af08865/maxresdefault.jpg,,1,2,B1
10016,Crowdfunding,"Crowdfunding draws on the power of crowds and networks to solicit investments, usually in small amounts, for particular projects. It is a departure from the traditional model of investment, which relies on a select investor or firm. Though not a new concept, the internet and its platforms has expanded and accelerated funding to extraordinary degree. Beyond providing more access to resources, it reduces costs, increases engagement, shifts mindsets on organisational possibilities and empowers small endeavours.","34,35,36",105,-,5,5,5,5,4.5,4,5,5,5,4,4.89,4.71,4.55,3,4,2,1,2,2,2,3,3,2,2,3,1,3,https://trello-attachments.s3.amazonaws.com/56de1ff519796692ce52367f/1280x854/792801ba039214581894a0ef3e4a87aa/kickstarter-badge-funded.0.0.png,,3,4,D1
10017,Social Sentiment Analysis,"The mining of subjective information that is being published across the internet (especially on social media). Determine if anything from a document to a tweet is positive, negative, or neutral with respect to an entity and if that content will have an affect on things such as investor confidence.","37,38,39","32, 33, 34",-,5,4,3.5,3.5,4,4,3,3,4,4,3.93,3.72,3.53,3,4,3,2,4,1,4,2,4,2,2,2,1,3,"https://trello-attachments.s3.amazonaws.com/56e230d2fa5a011ca339265f/810x430/cf07039a9fccc9e6621ab50c33cb5d4b/social_sentiment.png, https://trello-attachments.s3.amazonaws.com/56e230d2fa5a011ca339265f/1920x1080/51ff0de020e5af98cc5319b28a4bc3db/1666F43C4DEB7F9240615D.jpeg",,3,4,D1
10018,BitCoin Miner,"Computers equipped with native hardware or software which enables access to streams of bitcoin, making it easier for people without programming skills to participate in the mining process of the blockchain. This facilitation has the potential to globalize cryptocurrencies faster, and to exponentiate their usage. ",40,"35, 36",-,4,5,4.5,3,4,2.5,2,2,2,4.5,3.98,2.96,2.36,2,1,3,2,2,4,4,2,3,1,4,1,4,4,https://trello-attachments.s3.amazonaws.com/56de0d504c39f50ad8fa7824/1600x1200/6b0f7367916b01f61179e40ad695eb09/img_device.jpg,,1,2,B1
10019,Universal Exchange Rate,"Currency-exchange is an enormous business with trillions of dollars crossing borders each year, and historically an extremely inefficient and opaque one. New peer-to-peer platforms for transferring money abroad for a lower cost than currently offered by banks are starting to change that scenario. It saves customers on the hidden costs of currency transactions by using the mid-market rate – that is the mid-point between the buy and sell price – which generally isn’t available to retail customers.","41,42,43","37, 38, 39",-,4,5,3,4,3,3,2,3,3,3,3.66,3.13,2.73,3,3,2,4,1,1,1,1,4,3,4,3,3,1,https://trello-attachments.s3.amazonaws.com/56de0591313453d8b9288ebf/1440x900/00b4a564cd477ee059091ef7e34edb61/eODM4-LzGnYEzkbv2EmqMMUzpowvxoWS-t_z6X_-pT3LBF-SXnKBlsTCc5V6qiM1HNhu%3Dh900.png,,1,2,B1
10020,AI Assistant,"Populating any device connected to the internet and learning through a variety of inputs such as conversations, preferences and habits, these personal assistants will be able to predict and answer tasks as if their owner was doing it. From shopping to scheduling meetings, these context-aware intelligent AI will be hyper personal.",44,40,-,3,4.5,3,3.5,3,1.5,3,5,3,3.5,3.32,3.01,2.75,3,2,4,4,4,4,3,2,3,1,4,1,2,3,"https://trello-attachments.s3.amazonaws.com/56c9f10ea20a44a55d299961/56c9ffa48721a4aca3b2f0b4/x/7d36abd8747e5a55c594509c10791ebb/ex-machina.jpg, https://trello-attachments.s3.amazonaws.com/56c9f10ea20a44a55d299961/56c9ffa48721a4aca3b2f0b4/x/f11a8a4477760e6a5aedb86ecddc1bd6/toastAI.jpg",,0,1,A1
10021,Blockchain,"Online database that stores information across a network of personal computers, making it not just decentralized but distributed. This means no central company or person owns the database, yet everyone in the network can use and help run it, but not tamper with it. The most popular use of this technology today is bitcoin, but is just the beginning. In the future, blockchains that manage and verify online data will launch companies entirely run by algorithms, help us protect our online identities, and track the billions of devices on the Internet of Things.","21,45,46,47","106, 107",-,5,5,5,5,4.5,4,3,4,5,4,4.89,4.34,3.90,3,1,3,1,2,3,2,4,2,1,4,4,1,3,https://trello-attachments.s3.amazonaws.com/56f017c8687edfeecdb6b45c/710x412/43997d79abbcf0e20a349b32c6de4c6a/1z5h1L8w-KYIYwoqYgdFPXkes5yE2Br8B0LnubnjJ88%3D.jpeg,,4,5,E1
10022,Collaborative B2B Commerce,"Real-time data platforms which records information of each step of supply chains in order to show stakeholders their current state. By using a blockchain logic, it is possible to track any asset with their unique identification key. This new logic of open and accessible information have the potential to revolutionize how brands and companies deal with their whole supply ecosystem. ","48,49","41, 42, 43",-,4,5,4,3.5,4,2.5,3,4,5,3,4.05,3.63,3.30,2,1,3,1,3,1,3,3,2,1,2,1,2,1,"http://www.edelman.com/post/blockchain-technology/, https://trello-attachments.s3.amazonaws.com/56eaceac89505ff416ed73ba/620x315/75e7fad570dd83a29accc86c6800d119/BC4-cropped-1.jpg",,3,4,D1
10023,Cryptocurrency Insurance,"Although the blockchain network is almost incorruptible, the same cannot be said about its users - cryptocurrency are prone to be stolen and fraud. In order to ensure the safety of these digital coins, there will be a growing need of development of cybersecurity. Services which store safety for bitcoins also could offer insurance with a liability based on the fluctuating price of cryptocurrencies. ","50,51,52","44, 45",-,4,4,2.5,3,2.5,1.5,2,2,3,2,3.06,2.42,2.00,2,1,3,4,1,1,2,2,2,4,3,1,3,4,https://trello-attachments.s3.amazonaws.com/56fbcbb851ae0705651240ad/630x220/4912efc2e5ebcf4849cd74c7a6b0383f/Insuring-Bitcoins-and-Other-Cryptocurrencies.jpg,,2,3,C1
10024,Drone Insurance,"Flying drones can be used for a huge variety of operations, and all these uses need commercial drone liability insurance because of the potential accidents which can happen. There will be the need for a seamless stream of data and automation of the policies, especially because of the paperwork and bureaucracy involved with this technology.  Pre-flight checklists, logbooks, post-flight checks - there is potential to deal with the standardization of insurance packages. ","53,54,55","46, 47, 48",-,3,4.5,2.5,2,2.5,1.5,3,2,2,2,2.69,2.30,2.00,4,2,2,4,3,2,2,4,3,4,2,3,4,3,https://trello-attachments.s3.amazonaws.com/56fbcc0c08ebbc7e43a32b18/700x270/d3cc6076fbce132be39974ba9115b010/uas-1.jpg,,2,3,C1
10025,Internet Of Things Insurance,"As devices are increasingly more connected to the Internet, there will be a need from insurance companies to make ""connected coverages"". With the help of data gathered from IoT, it will be possible for insurers to identify trends and patterns in behavior, leveraging policies and pricing. It will be possible to analyze new information and cross-reference it with historical information and change their model from a reactive one, to a preventive model. ","56,57,58",49,-,3,4.5,2,2.5,1.5,1.5,1,3,2,2,2.36,1.95,1.67,4,1,1,2,4,2,1,2,3,1,3,4,1,1,https://trello-attachments.s3.amazonaws.com/56fbcbe8c22c8b17e6fa19f0/738x554/9c098000ef8344d62892a65224439b2b/internetofthings.png,,2,3,C1
10026,Real-Time Micro Insurance,"This type of service can be done as quickly as an online transaction, because it uses instantaneous data from an event in order to choose the best policy available for the insured. Features can be tailored to offer protection for the shortest period of time by mining both public and private data, creating personalized products on-the-go. ","59,60,61","50, 51",-,3,4,3,3.5,2.5,2.5,2,4,4,3,3.12,3.00,2.88,2,4,4,4,2,3,1,4,3,3,4,3,3,1,https://trello-attachments.s3.amazonaws.com/56fbc30f61a6fba523affbe7/738x439/8349ce7157fbfe70b1ac4ee6bb0b8967/uber-metromile.png,,2,3,C1
10027,Insurance Telematics,"Telematics refers to devices (such as cars) which merges telecommunications and infomatics. For insurance companies, solutions such as a GPS connected directly to the internet, or sensors which collect data from the driver will enable tailored policies for each driver based on their risks and behavior. Further uses could be to improve security by calling the emergency right after an accident or fraud prevention. ","112,113,114","52, 53",-,3,4.5,3,3.5,2.5,2,2,4,2,2.5,3.18,2.68,2.33,1,1,4,3,2,4,4,2,2,3,3,4,4,4,https://trello-attachments.s3.amazonaws.com/56e3652ac4bd5093eb7047a7/950x524/92b5e47eca49e2d85a8e6a86fb82e660/telematicspc.jpg,,2,3,C1
10028,Blockchain Notary,"Services that anonymously secure and store an online distributed proof of existence for any document. Documents or files are timestamped within the blockchain, but not stored inside it so it is impossible for them to be tampered or modified. This creates a 'digital footprint' easily traceable, adding a layer of security that proves data ownership without revealing actual data.","62,63,64","54, 55, 56",-,5,5,3.5,5,3,2,2,3,3,2.5,4.10,3.04,2.42,4,4,1,2,3,1,1,4,4,4,4,2,1,4,"http://www.edelman.com/post/blockchain-technology/, https://trello-attachments.s3.amazonaws.com/56eace8a86a90e1d35a0ed9d/620x315/925b1227c0e8daaf3a4b5979fe24d17a/BC4-cropped-1.jpg, https://trello-attachments.s3.amazonaws.com/56eace8a86a90e1d35a0ed9d/290x179/2ccb391874153c630a0487921070547a/ResizedImage290179-eID.png, https://trello-attachments.s3.amazonaws.com/56eace8a86a90e1d35a0ed9d/1200x630/2d0a3426b038612c6c62b7cf9a872523/e-residency.png",,4,5,E1
10029,Autonomous Organization,"Financial entities without a centralized owner which work like a blockchain, running independently and paying for its own resources inside the cyberspace. After these organizations are scripted, they will be able to keep running alone and adapt by using computer deep learning. Because the autonomous organizations are powered by thousands of computers, they produce results of high reliability and security.",21,"57, 58, 59",-,5,4,3,3.5,2.5,2,2,3,2,3,3.40,2.75,2.31,3,4,3,2,1,2,1,2,4,2,3,1,2,1,https://trello-attachments.s3.amazonaws.com/56fae41fd5daac77830733bd/743x356/96ca2630158c831d89e586f10a6f35ce/Ethereum.png,,3,4,D1
10030,Open-Source Investment Algorithm,"Most investment algorithms are proprietary and managed by large investment firms. Following the volatility of the financial markets and loss of confidence in institutions, there has been a rise in platforms to drive open-source algorithms. Built by a community, they are constantly adapting and evolving. This could provide opportunities for traders to develop algorithms for their own needs, and quickly test new ideas in investments.","65,66,67","60, 61, 62",-,3,4.5,3.5,3.5,3,2.5,3,2,3,3,3.42,2.98,2.63,4,4,4,1,2,2,1,4,1,3,1,3,1,1,https://trello-attachments.s3.amazonaws.com/56ddbbef227591328ca5f577/2878x1918/1aca36c1c786b73ec3869b83fedc0c65/Forex.jpg,,0,1,A1
10031,Omniscient ATM,"Working 24/7, futuristic ATMs will recognize its user with a set of biometrical sensors - being able to tell if the person making a transaction is tense or sad, and fire alerts depending on their status. There will be no need to use cards or pins, because the authentication will be completed entirely with biometric credentials. For people that are far away from a bank, live bank tellers via webcam or digital assistants will help with any needs, making a trip to the agency practically unnecessary. ","68,69",63,-,3,4,2.5,2,1.5,1.5,3,5,2,1.5,2.33,2.21,2.11,3,3,4,3,4,2,3,2,3,2,1,4,4,3,https://trello-attachments.s3.amazonaws.com/56df630c03f3d9fed03cdcb0/601x800/b2343766c4469a552e05d254e2a28734/280123.jpg,,4,5,E1
10032,Data-Mining Credit Scoring Model,"In order to provide instantaneous credit score assessment, search algorithms will be able to look into big data to understand borrowers' credit worthiness. . By using information which exceeds payment history, such as online reputation, professional connections or demographic characteristics, it will be possible to predict risks related to credit obligations. ","70,71,72","64, 65, 66",-,3,4,4,3.5,3.5,2,2,4,3,2,3.56,2.87,2.40,1,4,1,1,3,4,4,3,2,2,4,4,4,1,https://trello-attachments.s3.amazonaws.com/56de0d08517dd9a29ca91a13/700x394/2e52a5e482f17ad84e74bfa3595c10f1/ofu7k5mv4hybpiimr7ck.jpg,,2,3,C1
10033,Streamlined Payment,"Without asking for a credit card or money, services that handle customers' payments and charge only after the service is concluded or the product sucessfully shipped could potentially augment conversion rates for many digital services. As credit assessment gets more reliable and people without financial institutions get access to the internet, the need for a simplistic and reliable form of payment will drive the need for e-commerces to look for alternatives from direct online payment. ","73,74","67, 68",-,4,5,4,3,3,2.5,2,4,3,2,3.66,2.99,2.52,3,2,3,3,2,3,2,2,2,3,4,1,3,1,"https://www.klarna.com/application/files/2414/2841/2905/Klarna_DesktopMovie_us.mp4, https://trello-attachments.s3.amazonaws.com/56de0881155a0a09443b5a59/914x1140/cd6d010e4819c7068b407d7b1b2b3532/headerhand.png",,1,2,B1
10034,Big Data Optmization,"By processing large volumes of data, financial institutions will be able to leverage huge amounts of information in order to gather insights about their operations. Big data usage have the potential to transform business and market operations if the analytics tools used are integrated within management decisions.  ","75,76","69, 70, 71",-,3,5,4,4,4.5,3,3,4,3,3.5,3.98,3.58,3.26,2,4,1,3,2,2,1,3,3,4,3,4,4,3,https://trello-attachments.s3.amazonaws.com/56df09815475f310d1bc1aeb/1200x656/eed5bbd566cdcb4092c1b420be1451d8/0617_big_data_Cog.jpg,,0,1,A1
10035,Metasearch AI,"As the number of offers for pretty much any type of product or service increases, the use of aggregators in order to search for the best price/quality will potentially become the first place to go instead of the native place. The search tool will use the personal information data from the user and match it with the search engine's data in order to get results which will satisfy both the buyer and the seller. Results will be taylored especifically for the needs of each user, and can be modified using the configurations. ","77, 16",72,-,3,4.5,3.5,4,3,1.5,4,4,4,3.5,3.51,3.20,2.94,3,1,4,4,4,2,1,3,4,1,3,1,3,3,https://trello-attachments.s3.amazonaws.com/56df0b2bca3bcde7a98ca33b/550x300/b34364bf78a1e10eb9f8fd68adbfb7fd/metasearch-hotel.jpg,,0,1,A1
10036,Banking Omnichannel,"By integrating financial services into any device connected to the internet, a bank could be available to the customer on a variety of touchpoints, instead of exclusive ones (such as a ATM or an agency). Devices such as wearables or appliances with sensor technology could improve the banking experience by giving more data. Consumers could be able to perform their transactions in any device they have available and their device could respond depending on their context. ",78,73,-,3,5,4,4,4,3,3,4,5,3.5,3.90,3.72,3.57,3,4,4,4,1,2,2,2,1,1,2,3,1,2,https://trello-attachments.s3.amazonaws.com/56de089e2d559301eab6aca8/640x360/a22e5f9e49a582513c90009319cbebc5/mobile-banking-640.jpg__640x360_q85_crop.jpg,,1,2,B1
10037,Latency Intelligence Monitoring Software,"A software able to quantify sources of latency for capital markets industry, helping customers to minimize latency in trade execution and market data flow in real-time. As trading becomes more accurate and change faster in a connected world, there will be a need for transactions with highly accurate nanosecond time-stamping technology.","79,80",74,-,3,5,4,2.5,3.5,2.5,2,2,3,2.5,3.40,2.78,2.34,3,1,1,1,1,3,3,1,1,2,4,4,3,2,https://trello-attachments.s3.amazonaws.com/56df05ba60cc09d1e44290bc/625x351/3d20901fa4ae4b7091490d6a5708bb40/Data-Points-numbers-625x351.png,,3,4,D1
10038,Physiological Bank,"As health tracking becomes easier and cheaper with the use of wearables and smart sensors, the amount of information it is possible to gather from someone increases. By connecting well being and health with financial services, it would be possible to provide for customers rewards for keeping healthy habits or to give spending advices based on their overall physiological needs. As for consuming habits, data could be synced with habits in order to understand how hormones impacts purchasing decisions, for example. ","81,82,83,84","75, 76",-,4,4,2,3,1.5,1,1,2,3,1,2.50,1.71,1.30,1,4,1,3,3,2,3,1,1,2,1,1,4,2,https://trello-attachments.s3.amazonaws.com/56d896172893fde723522415/1224x568/c4037e1ded46f6a376735ed96652e55c/Screen_Shot_2016-03-11_at_2.23.28_PM.png,,0,1,A1
10039,Robo-Viser,"Management softwares will make automated investment much cheaper and easier. By managing the users' investment account 24/7, robo advisors will choose which portfolio is best depending on personal financial history. By using big data and real time analytics, money can be automatically invested or withdrawn as the market or conditions change. Investing, tax optimization, reinvesting - everything can be tailored specifically to the behavior and the needs of the investor. ","85,86,87","77, 78, 79",-,3,4,3,4,2.5,1.5,3,3,4,3,3.19,2.87,2.61,1,3,3,4,4,4,3,2,4,3,3,1,1,2,"https://trello-attachments.s3.amazonaws.com/56de0e2c4c39f50ad8fa7b04/4521x2260/2168c65bb3256dc0601343b304da80b1/150326_adv_roboadvisor01_lede.jpg, https://trello-attachments.s3.amazonaws.com/56de0e2c4c39f50ad8fa7b04/1012x676/afdcac8bc703f7994e96abee77219664/150326_adv_roboadvisor01.jpg",,0,1,A1
10040,Real Time Pricing,"By harnessing the data available from sets such as customer interactions, competitors pricing or even availability of inventory, retailers will be able to set algorithms to change prices in real time or even charge differently to each buyer. Systematic pricing will make online retailers charge by behavior alongside other economical factors. ","88,89,115","80, 81",-,4,4,4,4.5,2.5,2.5,2,4,4,3.5,3.64,3.27,2.97,1,2,3,1,1,1,1,2,3,4,1,1,2,2,"https://trello-attachments.s3.amazonaws.com/56de07365ce2954999427d72/450x337/51d88460c0b3af44fce8dffa2ffdcc16/v2002-25a.jpg, https://trello-attachments.s3.amazonaws.com/56de07365ce2954999427d72/700x492/a3ee6cfe43f854e432b5e2bed596e23a/notification_cut_2.png",,1,2,B1
10041,Identity Wearable,"Accessories and clothing connected to the cloud and to other applications have the potential to become an authenticator for transactions, especially when connected to unique biometric authenticators such as heart beat or voice. Near field communication (NFC), location and scanning technologies on smartphones are powering contactless in-store transactions. tap their phone on a NFC machine, or check in with a nearby merchant to autorize transactions from linked accounts. This streamlines payment systems, reduces infrastructure and lowers costs. Credentials can be easily programmed into the wearables and because the communication between devices is cryptographed, it is possible to perform payments or enable access using simply bluetooth or proximity.  ","90,91,92","82, 83",-,4,4.5,4,3,3.5,4,3,3,3,3.5,3.73,3.48,3.26,3,3,1,2,4,3,2,3,2,1,3,3,4,4,https://trello-attachments.s3.amazonaws.com/56e41c0b7b6cd4b0ebd97cde/977x488/ff4e4c5f2451e29db2aeefecd71f3fd3/usingnb_physical.jpg,,4,5,E1
10042,Equity Crowdfunding,"Startups, companies and creators are opening up their shares, even before they become public, in order to raise capital faster. With new regulations, it will become easier for non-accredited investors own part of companies and projects, choosing how much they want and can invest. The value of the shares follows the venture’s growth, creating a mutual relationship based on success with the shareholders.  As this type of funding becomes global, interesting ideas will sprout much faster based on how interesting they are to the community. ","93,94,34","84, 85, 86",-,4,5,4,4,3,4,3,3,4,3.5,3.90,3.66,3.44,2,3,2,1,1,1,2,4,2,4,3,4,1,1,https://trello-attachments.s3.amazonaws.com/56de109ef77f9b9a17c990fb/1460x560/9d379987e05bbeb75bcdf17ad62a897b/Growing_investment.jpg,,3,4,D1
10043,Healthy Lifestyle Coach,"By gathering personal data and health stats from wearables or sensors, artificial intelligence have the potential to replicate live coaches or doctors, giving personalized advices and tips to users in order for them to improve healthy behaviors that could affect various types of insurance policies or help inform financial behavior. This type of coach can permeate a variety of devices, from simple smartphones to complex virtual-reality systems, enabling the general population access to affordable and easy wellness education.","95,97,96","87, 88",-,3,4,4,3,3.5,2,3,3,4,3.5,3.44,3.17,2.94,4,4,4,4,1,4,2,1,2,3,4,4,1,1,"https://trello-attachments.s3.amazonaws.com/56fbbadd769af4acc7785bc6/404x301/cab40a4b01f23fabcdfc1dec9e80c2bc/img-ipad-01.jpg, https://trello-attachments.s3.amazonaws.com/56fbbadd769af4acc7785bc6/750x485/764cca1aa905d2d09267e9d080649c12/How-Diet-and-Exercise-Can-Affect-Your-Quality-of-Life-472087436-750x485.jpg",,0,1,A1
