id,url,Title,Description,Image
10,http://www.coindesk.com/ripple-interledger-connect-bank-blockchain/,Ripple Releases Interledger to Connect Bank and Blockchain Worlds,"CoinDesk speaks to Ripple about Interledger, its new protocol aimed at connecting bank and blockchain ledgers.",http://media.coindesk.com/2015/10/network-connections-e1444317168400.jpg
11,http://interledger.org/,Interledger,Payments across payment networks,
12,http://blockchained.blogspot.co.uk/2015/05/escrow-services-with-blockchain.html,Blockchained Technology: Escrow Services with Blockchain technology,,https://lh4.googleusercontent.com/zsyxNFMGWlqd0Ln0EpeBalL5XPrcwivjKn5P0TtL_cyxLkAetODjwV5esyAyl5NCs5hciWVB7mqr9LG9h21A-wK2jSwPxUC7cPf_MsKSLKQWNzd59TNACcEjRBp1VTI25FL7amk=w1200-h630-p-nu
13,http://www.coindesk.com/augur-future-blockchain-prediction-market/,Augur Bets on Blockchain-Powered Prediction Markets,Can the blockchain be used to build the first unstoppable prediction market? The six-person team behind Augur are betting the answer is 'yes'.,http://media.coindesk.com/2015/02/Screen-Shot-2015-02-26-at-5.42.51-PM.png
14,http://augur.link/augur.pdf,"Augur: a Decentralized, Open-Source Platform for Prediction Markets","Augur: a Decentralized, Open-Source Platform for Prediction Markets",
15,https://medium.com/@ConsenSys/why-how-decentralized-prediction-markets-will-change-just-about-everything-15ff02c98f7c#.5l75em2x5,Why & How Decentralized Prediction Markets Will Change Just About Everything. — Medium,"Excuse the superlatives. I’m usually a lot more guarded with these. However, the more I think about it, the more I feel …",https://cdn-images-1.medium.com/max/1200/1*qa-kxGuND7kguIYxx-3cWQ.jpeg
16,http://cointelegraph.com/news/colu-launch-taps-bitcoin-blockchain-to-digitize-assets-starting-with-music,"Colu Launch Taps Bitcoin Blockchain to Digitize Assets, Starting with Music","Colu, a platform using Bitcoin blockchain technology, today announced that it has beta launched its platform for developers.",http://cointelegraph.com/images/725_aHR0cDovL2NvaW50ZWxlZ3JhcGguY29tL3N0b3JhZ2UvdXBsb2Fkcy92aWV3Lzk1YjlmZjliNTZiNGQ1MjUxNzdjZTU5OTZkYjIyYjA0LnBuZw==.jpg
17,http://www.ey.com/Publication/vwLUAssets/EY-blockchain-technology-as-a-platform-for-digitization/$FILE/EY-blockchain-technology-as-a-platform-for-digitization.pdf,Blockchain Technology as a Platform for digitization,,
18,http://www.sans.org/reading-room/whitepapers/vpns/quantum-encryption-means-perfect-security-986,Quantum encryption means perfect security,,
19,http://www.economist.com/blogs/babbage/2012/02/quantum-cryptography,Quantum cryptography: Entanglement takes off | The Economist,Quantum cryptography is set to go into orbit,http://www.economist.com/sites/default/files/images/babbage.png
20,http://qz.com/143299/a-new-form-of-quantum-cryptography-could-make-financial-markets-of-the-future-cheat-proof/,A breakthrough in quantum cryptography could make financial markets of the future cheat-proof — Quartz,"Demonstrating a feat that was until recently thought to be impossible, researchers in Geneva, Singapore, Cambridge and Waterloo, Ontario have 'unconditionally guaranteed' the security and sanctity of a message transmitted between two points on earth. Their work (pdf) could lead to impenetrable communications networks for financial trading, online voting, or an endless variety of other tasks...",http://qzprod.files.wordpress.com/2013/11/eye-spy.jpg?quality=80&strip=all&w=1600
21,http://insidebitcoins.com/news/blockchain-identity-solving-the-global-identification-crisis/35028,"Blockchain Identity: Solving the Global Identification Crisis | Blockchain Agenda with Inside Bitcoins – News, Price, Events",Blockchain news and the leading global blockchain & bitcoin events,http://insidebitcoins.com/wp-content/uploads/2015/09/BlockchainIdentity-150x150.jpg
22,https://www.linkedin.com/pulse/crypto-20-musings-digital-identity-blockchain-alex-batlin,Crypto 2.0 Musings - Digital Identity on Blockchain,,https://media.licdn.com/mpr/mpr/jc/AAEAAQAAAAAAAAPYAAAAJGUxOGIzNjA4LTdmZDYtNDY0Mi04ZjgxLWY2YjVhMzM2ZjdmNw.jpg
23,http://www.coindesk.com/shocards-quest-secure-identity-blockchain/,ShoCard's Quest to Secure Identity on the Blockchain,CoinDesk speaks to ShoCard CEO Armin Ebrahimi about his company's efforts to disrupt identity verification via the blockchain.,http://media.coindesk.com/2015/07/17384822311_94a894b98d_o-1030x688.jpg
24,http://www.americanbanker.com/bankthink/smart-contracts-are-the-future-of-blockchain-1078705-1.html,Smart Contracts' Are the Future of Blockchain | Bank Think,A concept that predated bitcoin itself is becoming more than a thought exercise as blockchains explore ways to harness smart contracts for greater uses.,http://cdn.americanbanker.com/media/newspics/derose-chris-250.jpg
25,http://szabo.best.vwh.net/smart_contracts_idea.html,The Idea of Smart Contracts,,
26,http://www.fastcompany.com/3035723/app-economy/smart-contracts-could-be-cryptocurrencys-killer-app,What Are Smart Contracts? Cryptocurrency's Killer App | Fast Company | Business + Innovation,"By giving computers control over contracts, we can make business more efficient and make the legal system more equitable.",http://c.fastcompany.net/multisite_files/fastcompany/imagecache/620x350/poster/2014/09/3035723-poster-p-2-smart-contracts.jpg
27,http://www.forbes.com/sites/ibm/2015/11/09/how-cognitive-computing-impacts-banks-and-financial-markets/#39b6ba1525e5,IBMVoice: How Cognitive Computing Impacts Banks And Financial Markets,"By Nicholas Drury and Sandipan Sarkar, IBM For the banking industry, cognitive computing has arrived, and its potential to revolutionize the financial services industry is enormous. Cognitive systems -- with the power to unleash a new era of innovation and growth -- are already helping institutions provide better customer service, uncover new [...]",http://blogs-images.forbes.com/ibm/files/2015/10/iStock_000049292286_Small.jpg
28,http://public.dhe.ibm.com/common/ssi/ecm/bk/en/bkb03015usen/BKB03015USEN.PDF?,Transforming  financial services,,
29,http://www.information-age.com/it-management/strategy-and-innovation/123458811/intelligent-enterprise-how-businesses-will-use-cognitive-computing-2015#sthash.BCLrDn9b.dpuf,The intelligent enterprise: how businesses will use cognitive computing in 2015 | Information Age,2014 was the year artificial intelligence made its first major forays into the enterprise world. But it's hard to get to the crux of exactly what these technologies can do for us- and how we can expect them to impact the way we do business in 2015 and beyond.,http://www.information-age.com/sites/default/files/styles/article_portrait/public/field/image/cognitive%20computing.jpg?itok=Urulpo2G
30,http://www.wired.com/insights/2015/02/digital-wallets-end-of-the-beginning-or-beginning-of-the-end,Digital Wallets: End of the Beginning or Beginning of the End? | WIRED,"Apple Pay is up and running and digital wallets are back in the limelight. Are merchants, consumers, and the market ready for mass adoption of digital wallets? Google Wallet’s poor early uptake comes to mind four years after its launch in 2011. We believe a combination of factors – part structural, part user experience –…",http://www.wired.com/wp-content/uploads/2014/09/apple-pay-ft2.jpg
31,http://www.nber.org/papers/w21496.pdf,Peer-to-Peer Markets,,
32,http://www.bloomberglabs.com/data-science/projects/sentiment-analysis-financial-news-social-media/,Sentiment Analysis of Financial News and Social Media | Data Science | Bloomberg Labs,Bloomberg’s Sentiment Analysis product provides a state-of-the-art low-latency system for measuring investor sentiment based on textual content of financial news stories and social media.,
33,https://www.brandwatch.com/2015/01/understanding-sentiment-analysis/,Sentiment Analysis: What is it? Why use it?,"What is sentiment analysis, how does it work, and why should we use it? Read our overview of the broad uses and benefits of sentiment analysis.",https://14415-presscdn-0-52-pagely.netdna-ssl.com/wp-content/uploads/2015/01/hasta.jpg
34,https://www.linkedin.com/pulse/importance-sentiment-analysis-social-media-christine-day,Importance of Sentiment Analysis,,
35,http://techcrunch.com/2015/11/18/mining-and-learning-with-the-21-bitcoin-computer/,Mining (And Learning) With The 21 Bitcoin Computer,,https://tctechcrunch2011.files.wordpress.com/2015/11/21inc4b-_sr700525_2.jpg?w=533&h=394&crop=1
36,http://www.bloomberg.com/news/articles/2016-01-07/the-return-of-bitcoin-mining,The Return of Bitcoin Mining - Bloomberg,Higher prices are fueling a comeback in the business of creating new virtual currency.,https://assets.bwbx.io/images/i348trg.U.Qo/v1/-1x-1.jpg
37,http://www.wired.co.uk/news/archive/2012-08/22/startup-of-the-week-transferwise,Startup of the Week: TransferWise (Wired UK),TransferWise is a peer-to-peer platform for transferring money abroad for a lower cost than currently offered by banks. Wired.co.uk speaks to founder Taavet Hinrikus,http://cdni.wired.co.uk/620x620/s_v/TransferWise.jpg
38,http://www.telegraph.co.uk/sponsored/finance/money-transfers/11435428/how-does-transferwise-work.html,Video: How does TransferWise work? - Telegraph,,
39,http://www.forbes.com/sites/federicoguerrini/2014/10/24/how-to-save-money-on-foreign-currency-exchange-with-three-amazing-startups/#28a122f338fb,Three Startups That Will Help You Save Money On Foreign Currency Exchange,"After having disrupted telecommunications, music, publishing and other sectors, new technologies seem bound to disrupt banking. Not only through mobile payments services like the newly born Apple Pay, but cutting costs and commissions that banks impose on customers.",http://blogs-images.forbes.com/federicoguerrini/files/2014/10/TransferWise.png
40,http://www.theguardian.com/technology/2016/jan/31/viv-artificial-intelligence-wants-to-run-your-life-siri-personal-assistants,Meet Viv: the AI that wants to read your mind and run your life | Technology | The Guardian,The team behind Siri have a new idea: a voice-controlled personal assistant that will take care of your every need,https://i.guim.co.uk/img/media/97c7f35cf1c31e8fae7fe0842583ab092a637408/0_0_2250_1350/master/2250.jpg?w=1200&q=55&auto=format&usm=12&fit=max&s=0dcd2334e156fe26d18496a8f4cdd899
41,http://www.skuchain.com/,Skuchain,,
42,https://www.provenance.org/about,Provenance | About,"Learn more about Provenance, our mission, our game changing supply chain technology and how our solutions might work for you.",https://assets.provenance.org/assets/modules/meta-transparency-361d9a1720ad6cd47ef5144e8504036d0b23c6074d3eb339baf83d42785c74aa.jpg
43,http://www.edelman.com/post/blockchain-technology/,Five Applications of Blockchain Technology - Edelman,Blockchain technology has great potential for how companies can support their stories and provide proof-of-performance.,http://edelman.edelman1.netdna-cdn.com/assets/uploads/2016/03/BC4-cropped-1.jpg
44,http://motherboard.vice.com/blog/now-you-can-insure-your-bitcoins,Now You Can Insure Your Bitcoins | Motherboard,"As cryptocurrency thefts continue, a UK company offers Bitcoin storage backed by insurance.",http://motherboard-images.vice.com/content-images/contentimage/11440/1399664089463.jpeg
45,https://www.elliptic.co/about-elliptic/,About - Elliptic,,
46,http://fortune.com/2015/10/27/aig-insure-drones/,AIG is now selling drone insurance - Fortune,AIG giant wants you to be covered for damage and injury from your drones.,https://fortunedotcom.files.wordpress.com/2015/09/gettyimages-487540612.jpg?w=820&h=570&crop=1
47,http://www.bloomberg.com/news/articles/2015-12-14/your-kid-just-got-a-drone-should-you-get-insurance-,Your Kid Just Got a Drone. Should You Get Insurance? - Bloomberg,"Thousands of novice pilots will be unwrapping drones for Christmas, and some are going to crash and burn.",https://assets.bwbx.io/images/iH239l_19fQw/v1/-1x-1.jpg
48,http://finance.yahoo.com/news/iso-introduces-drone-insurance-coverage-130101891.html,ISO Introduces Drone Insurance Coverage Options for Commercial Inland Marine Market,,
49,http://techcrunch.com/2015/08/17/how-iot-will-change-your-relationship-with-insurance/,How IoT Will Change Your Relationship With Insurance | TechCrunch,"Between TVs, refrigerators, ovens, light bulbs, cars, fitness trackers and jewelry, it seems like everything these days is connected to the Internet. It’s..",https://tctechcrunch2011.files.wordpress.com/2015/04/internetofthings.png?w=764&h=400&crop=1
50,http://techcrunch.com/2015/12/29/microinsurance-is-the-answer-to-the-insurance-industry/,Microinsurance Is The Answer To The Insurance Industry | TechCrunch,Let’s be real. The insurance industry has barely evolved since Benjamin Franklin introduced the concept in the late 1700s. You’d think after three hundred..,https://tctechcrunch2011.files.wordpress.com/2015/12/shutterstock_261253943.jpg?w=764&h=400&crop=1
51,http://techcrunch.com/2015/08/05/insurance-is-the-next-frontier-for-fintech/,Insurance Is The Next Frontier For Fintech | TechCrunch,"We have entered a golden age for fintech. Lend﻿ingClub and OnD﻿eck recently exited through massive IPOs, and global investments in the fintech space hit..",https://tctechcrunch2011.files.wordpress.com/2014/12/insurance.jpg?w=764&h=400&crop=1
52,,,,
53,http://www2.deloitte.com/ie/en/pages/financial-services/articles/insurance-telematics.html,Insurance Telematics,,http://www2.deloitte.com/content/dam/Deloitte/global/Images/promo_images/gfsi-1308-globe.jpg
54,http://www.edelman.com/post/blockchain-technology/,Five Applications of Blockchain Technology - Edelman,Blockchain technology has great potential for how companies can support their stories and provide proof-of-performance.,http://edelman.edelman1.netdna-cdn.com/assets/uploads/2016/03/BC4-cropped-1.jpg
55,http://bravenewcoin.com/news/bitnation-starts-offering-blockchain-public-notary-service-to-estonian-e-residents/,Bitnation starts offering blockchain public notary service to Estonian e-Residents » Brave New Coin,"Bitnation partners with Estonia to offer e-Residents a public blockchain notary service, starting today. To kick off the partnership between the two, events will be held online that includes a blockchain wedding you can attend during a google hangout.",http://bravenewcoin.com/assets/Uploads/_resampled/CroppedImage400400-Bitnation.jpg
56,https://proofofexistence.com/about,Proof of Existence,Proof of Existence,
57,https://blockchainfutureslab.wordpress.com/2016/02/27/a-typical-day-in-a-blockchain-enabled-world,A Typical Day in a Blockchain-Enabled World Circa 2030 | Blockchain Futures Lab,"Let's follow Crowley the Crocodile as he goes about his day in the year 2030, from the moment his bitcoin-powered bioalarm clock wakes him, until he eats his late night pizza ordered using a rating service without a human owner.",https://blockchainfutureslab.files.wordpress.com/2016/02/crowley.jpg
58,http://www.fastcompany.com/3047462/the-humans-who-dream-of-companies-that-wont-need-them.,The Humans Who Dream Of Companies That Won't Need Us | Fast Company | Business + Innovation,"How would Ethereum's network autonomously run transportation apps, delivery services, and other companies? And would we even want that?",http://d.fastcompany.net/multisite_files/fastcompany/imagecache/620x350/poster/2015/06/3047462-poster-p-1-a-the-humans-who-dream-of-companies-that-wont-need-them.jpg
59,https://blog.ethereum.org/2014/05/06/daos-dacs-das-and-more-an-incomplete-terminology-guide/,"DAOs, DACs, DAs and More: An Incomplete Terminology Guide - Ethereum Blog",,https://blog.ethereum.org/wp-content/uploads/2013/12/dao-quadrants.jpg
60,http://dailyfintech.com/2015/03/30/quantopian-diy-open-sourced-trading-algorithms-and-a-crowd-sourced-hedge-fund/,Quantopian – DIY open-sourced trading algorithms and a crowd-sourced hedge fund | Daily Fintech,"By Efi Pylarinou Quantopian, founded in 2012 in Boston, started in the Algorithmic trading space. It offered a web-based platform to write algorithms for US equities trading. In addition, Quantopian offered the capability to paper trade against live stock market data and - most importantly - to back-test the algorithm against historical data. So far, that describes most competent algo trading systems. Quantopian differentiates…",https://s0.wp.com/i/blank.jpg
61,http://www.zdnet.com/article/elon-musk-tech-behemoths-invest-1bn-in-open-source-ai-research,"Elon Musk, tech behemoths invest $1bn in open-source AI research | ZDNet",Can open-source artificial intelligence technologies work for the greater good of humanity?,http://zdnet4.cbsistatic.com/hub/i/r/2015/12/14/874ec9a7-ce8d-4ac8-884d-bf87c4a44ff0/thumbnail/770x578/c8b57cd740c09f3d42f4de039496d6ca/screen-shot-2015-12-14-at-08-11-21.png
62,http://www.wired.com/2013/12/honeybadger/,Honey Badger Hedge Fund: Hackers Predict Stock Market With Open Source Mojo | WIRED,"Somewhere, out on the web, there’s a secret Twitter account that’s one hell of a stock picker. So far, the thing has recommended seven stock trades — all to a private group of traders — and each one of them has turned a profit.",http://www.wired.com/wp-content/uploads/images_blogs/wiredenterprise/2013/12/team_honeybadger.jpg
63,http://www.gizmag.com/eyelock-diebold-irving-atm/41217/,Futuristic no-PIN automated teller looks its user in the eye,"Tired of having to remember PINs, or having a wallet full of plastic cards? Well, if EyeLock has its way, you eventually won't have to. It's created an ATM that has no keypad, card reader or screen. Known as the Irving concept, it utilizes an iris scanner and an app instead.​",http://img.gizmag.com/eyelock-diebold-iris-scanning-atm-1.jpg?auto=format%2Ccompress&ch=Width%2CDPR&fit=crop&h=394&q=60&rect=0%2C73%2C1501%2C844&w=700&s=087ed4449f9d538cff3015a496aa76fc
64,https://www.researchgate.net/publication/220217974_using_data_mining_to_improve_assessment_of_credit_worthiness_via_credit_scoring_models,Using data mining to improve assessment of credit worthiness via credit scoring models (PDF Download Available),"Official Full-Text Publication: Using data mining to improve assessment of credit worthiness via credit scoring models on ResearchGate, the professional network for scientists.",https://i1.rgstatic.net/publication/220217974_Using_data_mining_to_improve_assessment_of_credit_worthiness_via_credit_scoring_models/links/568e0f8708aef987e5661fff/smallpreview.png
65,http://knowledge.wharton.upenn.edu/article/the-social-credit-score-separating-the-data-from-the-noise,The 'Social' Credit Score: Separating the Data from the Noise - Knowledge@Wharton,"A new wave of financial services start-ups is taking advantage of the era of 'Big Data' by using information culled from social networks to assess the creditworthiness of loan applicants, particularly those with spotty or limited credit histories. But Wharton experts warn that it may take years to figure out what type of social data is useful in creating accurate consumer profiles. They note that the tried-and-true method of gauging the quality of a person's credit -- the FICO score -- is far from obsolete.",http://knowledge.wharton.upenn.edu/wp-content/uploads/2013/06/credit-cards.jpg
66,http://www.mckinsey.com/business-functions/risk/our-insights/new-credit-risk-models-for-the-unbanked,New credit-risk models for the unbanked | McKinsey & Company,"Lenders can use big data to create meaningful value for their enterprise, better outcomes for borrowers, and significant social impact.",http://www.mckinsey.com/~/media/McKinsey/Business%20Functions/Risk/Our%20Insights/New%20credit%20risk%20models%20for%20the%20unbanked/necr13_frth.ashx
67,http://techcrunch.com/2015/10/28/klarna-a-unicorn-is-coming-to-the-u-s-and-going-after-u-s-credit-card-companies/,"Klarna, A Unicorn, Is Coming To The U.S. And Going After U.S. Credit Card Companies | TechCrunch","If you live in the U.S., you might not be terribly familiar with Klarna, a 10-year-old Stockholm-based company that provides payment services for online..",https://tctechcrunch2011.files.wordpress.com/2015/10/sebastian-print-3.jpg?w=764&h=400&crop=1
68,http://www.economist.com/news/finance-and-economics/21690106-payments-unicorn-seeks-become-dray-horse-bank-getting-more-ambitious.,"The Economist - World News, Politics, Economics, Business & Finance","The Economist offers authoritative insight and opinion on international news, politics, business, finance, science, technology and the connections between them.",http://cdn.static-economist.com/sites/default/files/the-economist-logo.gif
69,https://hbr.org/2012/10/big-data-the-management-revolution/,Big Data: The Management Revolution,Exploiting vast new flows of information can radically improve your company’s performance. But first you’ll have to change your decision-making culture.,
70,http://harvardmagazine.com/2014/03/why-big-data-is-a-big-deal,"Understanding big data leads to insights, efficiencies, and saved lives | Harvard Magazine",Information science promises to change the world.,
71,https://www.pwc.com/us/en/financial-services/publications/viewpoints/assets/pwc-unlocking-big-data-value.pdf,,,
72,http://www.wired.com/2007/06/aggregating_dat/,Aggregating Data Makes Us Smarter: An Interview With Kayak Founder Paul English | WIRED,,
73,http://techcrunch.com/2015/11/10/banks-should-prepare-for-the-internet-of-things/,Banks Should Prepare For The Internet Of Things | TechCrunch,"It is widely acknowledged that the Internet of Things (IoT) will have a huge impact on nearly every industry, and financial services is no exception. Gartner..",https://tctechcrunch2011.files.wordpress.com/2015/11/shutterstock_302406614.png?w=764&h=400&crop=1
74,http://www.correlix.com,,,
75,http://method.com/work/method-money,Method – Case Study – Method Money,Translating exploratory research into tangible future scenarios,http://www.method.com/img/method.png
76,http://www.forbes.com/sites/parmyolson/2014/06/19/wearable-tech-health-insurance/#d430b105ba1b,Wearable Tech Is Plugging Into Health Insurance,More employers are giving out fitness trackers to better monitor their health costs. That could become a thorny issue as biometric sensors become more sophisticated.,http://blogs-images.forbes.com/parmyolson/files/2014/06/Blake-with-Jawbone-3-e1402984222825-1024x574.jpg
77,http://www1.folha.uol.com.br/mercado/2016/02/1744354-robos-dao-assessoria-de-investimentos.shtml,Robôs dão assessoria de investimentos - 29/02/2016 - Mercado - Folha de S.Paulo,Duas start-ups prometem um jeito de deixar investidores mais tranquilos na hora de decidir como aplicar seu dinheiro: colocar um robô cuidando disso.,
78,http://www.forbes.com/sites/robertberger/2015/02/05/7-robo-advisors-that-make-investing-effortless/#450bed5a7e48,7 Robo Advisors That Make Investing Effortless,"Automated investment services promise to make investing easy, inexpensive, and even fun.  Sometimes called robo advisors, these companies can take the pain and uncertainty out of investing by constructing a portfolio, investing in ETFs, rebalancing, reinvesting dividends, and even harvesting tax losses. On the surface robo advisors appear to be virtually [...]",http://blogs-images.forbes.com/robertberger/files/2015/02/Better.png
79,http://www.ft.com/cms/s/0/afb03182-c107-11e5-9fdb-87b8d15baec2.html#axzz43wh88ikz,UK banks set to launch ‘robo-advisers’ - FT.com,"The UK’s biggest banks are planning to launch “robo-advisers” in a bold move to provide investment advice with a digital twist to thousands of consumers, only a few years after they were forced out of the market for mis-selling. Barclays, Royal Bank",http://im.ft-static.com/content/images/0783281c-42ba-4550-b61b-5e36be495bee.img
80,http://www.nytimes.com/2012/12/01/business/online-retailers-rush-to-adjust-prices-in-real-time.html,,,
81,https://www.whitehouse.gov/sites/default/files/docs/Big_Data_Report_Nonembargo_v2.pdf,,,
82,http://mashable.com/2014/11/04/wristband-heartbeat-payments/#qv0sjmy228qk,This wristband works with your heartbeat to pay for things,"We know that Apple Pay works with your fingerprint to verify payments, but Bionym has a different idea: A wristband that reads the human heart.",http://rack.0.mshcdn.com/media/ZgkyMDE0LzExLzA1LzQ3L255bWliYW5kLmUzZTI1LmpwZwpwCXRodW1iCTEyMDB4NjI3IwplCWpwZw/c455046a/b39/nymi-band.jpg
83,http://www.wired.com/insights/2014/10/wearables-security-first-design/,Wearables and Quantified Self Demand Security-First Design | WIRED,"As a wearable-tech enthusiast attending Black Hat Europe Amsterdam, I felt like I didn’t belong there and like I have lost my way. Black Hat, like Defcon, is one of the biggest information security events in the world that bring together everyone from the hacking community and information security enterprises. So Wearable Tech isn’t the…",http://www.wired.com/wp-content/uploads/images_blogs/gadgetlab/2013/02/wearable-tech.jpg
84,https://learn.indiegogo.com/equity-crowdfunding/,Equity Crowdfunding - Indiegogo,,
85,http://www.forbes.com/sites/ericwagner/2014/03/18/equity-crowdfunding-101-is-it-right-for-your-startup/#4dad77707f34,Equity Crowdfunding 101: Is It Right For Your Startup?,"“I need capital, Eric.” Sitting in my archives are hundreds of emails with the same plea. And although my comeback tells entrepreneurs to bootstrap and run lean for as long as possible, there does come a time to seek the almighty buck. Startup entrepreneurs can knock on the door of angels, venture capitalists, [...]",http://blogs-images.forbes.com/ericwagner/files/2014/03/crowdfunding_rev.jpg
86,http://www.wired.com/brandlab/2015/07/jon-gosier-equity-crowdfunding-can-help-spread-global-wealth/,Jon Gosier: How ‘Equity Crowdfunding’ Can Help Spread Global Wealth | WIRED,"While technology has put dazzling conveniences and insane riches into the hands of many, such benefits are not evenly distributed around the world—and tech innovation, so the argument goes, is also contributing to the ever-widening gulf between the rich and poor. “The tech community works under the assumption that if you build great things it…",http://www.wired.com/wp-content/uploads/2015/07/AT_JonGosier_284-1200x630.jpg
87,http://bigthink.com/hybrid-reality/the-freud-apps-ai-virtual-life-coaching-and-the-future-of-psychotherapy,"The Freud Apps: AI, Virtual Life Coaching, and the Future of Psychotherapy | Big Think","Even though AI systems are no substitute for interactions with a real human, they do have the potential to improve our quality of life.",http://assets3.bigthink.com/system/idea_thumbnails/43039/primary/ai%202.jpg?1343848006
88,https://www.psychologytoday.com/blog/wired-success/201308/will-therapists-and-coaches-be-replaced-avatars,Will Therapists and Coaches Be Replaced by Avatars? | Psychology Today,,
89,https://www.airbnb.com/host-protection-insurance,Host Protection Insurance - Airbnb,The Host Protection Insurance offers protection for Airbnb hosts against accidents that occur during stays in their listing.,https://a2.muscache.com/airbnb/static/logos/belo-1200x630-a0d52af6aba9463c82017da13912f19f.png
90,http://www.nytimes.com/2014/12/06/your-money/airbnb-offers-homeowner-liability-coverage-but-hosts-still-have-risks.html,,,
91,http://techcrunch.com/2014/11/20/airbnb-rolls-out-million-dollar-liability-insurance-program-for-hosts/,Airbnb Rolls Out Million-Dollar Liability Insurance Program For Hosts | TechCrunch,Airbnb today announced an additional liability insurance program that will provide U.S. hosts with up to $1 million worth of protection in the case a guest is..,https://tctechcrunch2011.files.wordpress.com/2014/09/airbnb-a8707ed9_original.jpg?w=764&h=400&crop=1
92,http://www.wired.com/2016/03/security-news-week-hackers-spoil-1-billion-bank-heist-typo/,Security News This Week: Hackers Spoil Their $1 Billion Bank Heist With a Typo | WIRED,"Each Saturday we round up the news stories that we didn’t break or cover in depth at WIRED, but which deserve your attention nonetheless.",https://www.wired.com/wp-content/uploads/2016/03/Vault-a0007-000162a-1200x630-e1457746310542.jpg
93,http://www.forbes.com/sites/tomgillis/2016/02/02/the-future-of-security-isolation/#3f87043511dd,The Future of Security: Isolation,"There’s an old saying in IT: The best way to secure a server is to leave it off. While humorous, this security method is obviously not helpful, but there’s a somewhat similar, ultra-secure technique that is useful—power the server on but leave it off the Internet. The server can be [...]",http://blogs-images.forbes.com/tomgillis/files/2016/02/isolation.jpg
94,http://www.wired.com/insights/2014/09/quantum-key-distribution/,The Future of Security: Zeroing In On Un-Hackable Data With Quantum Key Distribution | WIRED,"Thieves steal data constantly, so protecting it is an ongoing challenge. There are more than 6,000 banks with 80,000 branches in the United States, nearly 6,000 hospitals and thousands of insurance companies, all with data that we want to be kept private. Traditionally, their valued data is protected by “keys,” which are transmitted between sender…",http://www.wired.com/wp-content/uploads/2014/09/quantum_cryptography_660.jpg
95,http://method.com/work/method-money,Method – Case Study – Method Money,Translating exploratory research into tangible future scenarios,http://www.method.com/img/method.png
